Nummer     Titel
375        God zij gezegend! Laat ons dank bewijzen
376        Ziel, mijn ziel, aanvaard uw luister,
377        Zoals ik ben, kom ik nabij,
378        Sterk, Heer, de handen tot uw dienst,
379        Breek ons, Heer, het brood,
380        Gij, Jezus Christus, opgestegen
381        Genadig Heer, die al mijn zwakheid weet,
382        O alle gij dorstigen, kom tot de stromen
383        Zeven was voldoende,
384        Als koning opgetreden
385        De tafel van samen, de tafel is gedekt.
386        Vier met alles wat in je is
387        Als wij weer het brood gaan breken
388        Voor ieder van ons een plaats aan de tafel,
389        Het brood dat ons voor ogen staat
390        Het brood in de aarde gevonden,
391        Hij ging van stad tot stad, Hij sprak:
392        Wie kent de eenvoud van het breken,
393        Als ik in deze stille tijd
394        Hoog staat de paaskaars opgericht:
395        Op de avond, toen de uittocht
396        Vrede is het woord dat wij mogen spreken.
397        Vrede gaat van hand tot hand,
398        Steek je hand uit, geef om vrede,
399        Brood van leven, wijn van vreugde,
400        Voordat ik kan ontvangen brood en wijn
401        De Eeuwige leeft
405        Heilig, heilig, heilig! Heer, God almachtig,
409        Lam van God, onschuldig
410        Lamb of God you take away the sin of the world,
411        U, God, loven wij!
412        Wij loven U, o God, belijden U als Heer.
413        Grote God, wij loven U,
414        Geef ons genadig, goede God,
415        Zegen ons, Algoede,
416        Ga met God en Hij zal met je zijn,
417        Frieden, Frieden hinterlasse ich euch.
418        God, schenk ons de kracht
419        Wonen overal nergens thuis
420        Groot is de wereld
421        Vrede voor jou, vrede voor jou, vrede voor jou.
422        Laat de woorden
423        Nu wij uiteengaan vragen wij God:
424        Verzadigd de honger,
425        Vervuld van uw zegen gaan wij onze wegen
426        God to enfold you, Christ to uphold you,
427        Vonkje van hoop diep in mij,
433        Kom tot ons, de wereld wacht,
434        Daar komt een schip, geladen
435        Hef op uw hoofden, poorten wijd!
436        Hef op uw hoofden, poorten wijd!
437        Kom tot ons, scheur de hemelen, Heer,
438        God lof! Nu is gekomen
439        Verwacht de komst des Heren,
440        Ga, stillen in den lande,
441        Hoe zal ik U ontvangen,
442        Op U, mijn Heiland, blijf ik hopen.
443        De engel Gabriel komt aangesneld,
444        Nu daagt het in het oosten,
445        De nacht is haast ten einde,
446        Zijt Gij waarop de wereld wacht
447        Het zal zijn in het laatste der tijden
448        Het volk dat wandelt in het duister
449        In de duisternis verwachten
450        Verblijd u in de Heer te allen tijd,
451        Richt op uw macht, o Here der heerscharen
452        Als tussen licht en donker
453        Wachters van de tijd,
454        De mensen die gaan in het duister,
455        Het zal geschieden in de laatste dagen
457        Hoever is de nacht, hoever, hoever,
459        Ik breng een rechter aan het licht,
460        Het volk dat woont in duisternis
461        Wij wachten op de koning
462        Zal er ooit een dag van vrede,
463        Licht in onze ogen,
464        Een engel spreekt een priester aan.
465        Hopen en uitzien naar het licht,
466        O wijsheid, daal als vruchtbare taal!
468        Prijs de Heer die herders prijzen,
469        ‘Ik ben een engel van de Heer,
470        U Jezus Christus loven wij,
471        In dulci jubilo,
472        Hoor de herders, hoe ze Hem loven,
473        Er is een roos ontloken
474        Loof God, gij christenen, maak Hem groot
475        Ik mag hier aan uw kribbe staan,
476        Nu zijt wellekome,
477        Komt allen tezamen, jubelend van vreugde:
478        Komt, verwondert u hier, mensen,
479        Een lied weerklinkt in deze nacht,
480        Ik wandel in gedachten
481        Hoor, de engelen zingen de eer
482        Er is uit ’s werelds duistere wolken
483        Stille nacht, heilige nacht!
484        While shepherds kept their watching
485        Zeg eens herder, waar kom jij vandaan?
486        Midden in de winternacht
487        Eer zij God in onze dagen,
488        In den beginne was het woord,
488        In den beginne was het woord,
490        God heeft gesproken: Gij zijt mijn zoon,
491        Kind ons geboren, zoon ons gegeven,
492        In den beginne was het woord
493        Soms breekt uw licht
494        Vanwaar zijt Gij gekomen,
495        Toen midden in de wintertijd
496        Een ster ging op uit Israël
497        Maria ging op reis,
498        Betlehem, o uitverkoren
499        Nu gaat de hemel open,
500        Uit uw verborgenheid
501        Als een ster in lichte luister,
502        Wij zingen door de tranen heen,
503        Wij staan aan een kribbe, aanschouwen de bron,
504        Een engel heeft de toon gezet.
505        In de nacht gekomen
506        Wij trekken in een lange stoet
507        Het is al nacht in Betlehem,
508        Klaarlichte nacht,
509        Kindje van vrede, dat op ons wacht,
510        O kerstnacht, schoner dan de dagen,
511        Door goede machten trouw en stil omgeven,
512        O Jezus, hoe vertrouwd en goed
513        God heeft het eerste woord.
515        Een kind geboren te Betlehem,
516        Van ’t vroeglicht van de dageraad
517        Christus, uit God geboren
518        Hoe helder staat de morgenster,
519        Gij die de ster van David zijt
520        De wijzen, de wijzen,
521        Hij komt niet uit de grote stad.
522        Toen Jezus bij het water kwam,
523        Christus ging als eerste
524        Nu Gij de doop ontvangt in de Jordaan,
525        Wij willen de bruiloftsgasten zijn
526        Juich voor de koning van de Joden,
527        Uit uw hemel zonder grenzen
528        Omdat Hij niet ver wou zijn
529        ‘Mijn dienstknecht, mijn geliefde –
530        De Geest des Heren is op hem
531        Jezus die langs het water liep
532        De visser ging uit vissen,
533        Daar komt een man uit Nazaret.
534        Hij die de blinden weer liet zien,
536        Alles wat over ons geschreven is
537        Zo spreekt de Heer die ons geschapen heeft:
538        Een mens te zijn op aarde
539        Jezus, diep in de woestijn,
540        Het waren tien geboden
541        Veertig jaren lopen door het hete zand.
542        God roept de mens op weg te gaan,
543        Gij zijt in glans verschenen,
544        Christus naar wie wij heten
545        Christus staat in majesteit
546        Wees blijde nu, in ’t midden van het lijden,
547        Met de boom des levens wegend op zijn rug
548        Het heeft de Heilige behaagd
549        De ezelruiter! Kijk die ezelruiter.
550        Verheug u, gij dochter van Sion,
551        Hosanna, hosanna,
552        Dit is een dag van zingen!
553        Stap voor stap gaat door Jeruzalem
554        Welkom, welkom, koning Jezus,
555        Op een ezel komt Hij aan
556        Alles wat over ons geschreven is
557        Naam van Jezus die ten dode
558        Jezus, om uw lijden groot,
559        Gij die ver voor ons uit
560        Hij ging de weg zo eenzaam
561        O liefde die verborgen zijt
562        Ik wil mij gaan vertroosten
563        De geur van mirre hangt
565        Het hoogste woord daalt uit het licht
566        Midden in de dood
569        Toen Jezus wist: nu is gekomen
570        Toen Jezus had gebeden,
571        In stille nacht houdt Hij de wacht
572        De koningsvaandels trekken uit,
573        Moeder stond door smart bevangen
574        Glorie zij U, Christus, U leed onze nood,
575        Jezus, leven van ons leven,
577        O wereld, zie uw leven
578        O kostbaar kruis, o wonder Gods,
579        Niets droeg hem meer,
580        Dag zo bitter en zo goed,
581        Hier zwijgt het hoge denken:
582        Door wat voor grote eenzaamheden
583        Maria keek toe, men hing Jezus zo hoog,
584        Is zijn ure nu gekomen,
585        Waar was jíj, toen men Hem gekruisigd had?
586        Zie de mens die in zijn lijden
587        Licht voor de wereld, geeft U zich gevangen
588        Heilig aanschijn van het Lam,
589        O lichaam van het woord,
590        Nu valt de nacht. Het is volbracht:
591        O Heer, wees met uw kerk
592        Stil ligt de tuin rondom het witte graf
593        Licht van Christus!
594        Wachters op de morgen, hoever is de nacht?
595        Juich, hemelen, één koor van engelen,
596        Ontwaak, gij die slaapt,
597        Wees hier aanwezig, licht in ons midden,
598        Dans nos obscurités, allume le
599        O diepe nacht die ons omringt,
600        Licht, ontloken aan het donker,
601        Licht dat ons aanstoot in de morgen,
602        Met niets van niets zijt Gij begonnen,
603        De vloed van vóór de tijd,
604        De eerste dag der week,
605        De toekomst is al gaande,
606        Met Mozes zijn wij meegegaan,
607        Gij zijt voorbijgegaaan,
608        De steppe zal bloeien
